Instrument,ScoreGroup,Start,Duration,End
Bb Clarinet,Lyrical Etude,11.75510204,98.089795918,109.84489795799999
Bb Clarinet,Technical Etude,117.028571428,51.722448979,168.751020407
Bb Clarinet,Chromatic Scale,174.759183673,10.971428571,185.73061224399999
Bb Clarinet,Major Scales,193.959183673,101.485714285,295.444897958
Bb Clarinet,Sight-Reading,299.75510204,34.089795918,333.844897958
