Instrument,ScoreGroup,Start,Duration,End
Flute,Lyrical Etude,12.991564626,45.609795918,58.601360544
Flute,Technical Etude,65.602176871,24.474557823,90.076734694
Flute,Chromatic Scale,99.998185941,12.821768707,112.819954648
Flute,Major Scales,121.916371882,116.651247166,238.567619048
Flute,Sight-Reading,246.552380952,64.159637188,310.71201814
