ScoreID,Student,Instrument,ScoreGroup,Description,Score,RecordingPath,MaxScore,NormalizedScore
2232088,116683,Oboe,Lyrical Etude,Tone Quality,17,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,20.0,0.85
2324071,116683,Oboe,Lyrical Etude,Tone Quality,15,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,20.0,0.75
2324072,116683,Oboe,Lyrical Etude,Note Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,10.0,1.0
2232089,116683,Oboe,Lyrical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,10.0,0.9
2232090,116683,Oboe,Lyrical Etude,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,10.0,0.9
2324073,116683,Oboe,Lyrical Etude,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,10.0,0.9
2324074,116683,Oboe,Lyrical Etude,"Musicallity, Tempo & Style",14,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,20.0,0.7
2232091,116683,Oboe,Lyrical Etude,"Musicallity, Tempo & Style",14,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,20.0,0.7
2232092,116683,Oboe,Technical Etude,Tone Quality,16,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,20.0,0.8
2324075,116683,Oboe,Technical Etude,Tone Quality,16,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,20.0,0.8
2324076,116683,Oboe,Technical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,10.0,0.9
2232093,116683,Oboe,Technical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,10.0,0.9
2232094,116683,Oboe,Technical Etude,Rhythmic Accuracy,8,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,10.0,0.8
2324077,116683,Oboe,Technical Etude,Rhythmic Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,10.0,1.0
2324078,116683,Oboe,Technical Etude,"Musicality, Tempo & Style",18,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,20.0,0.9
2232095,116683,Oboe,Technical Etude,"Musicality, Tempo & Style",15,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,20.0,0.75
2232096,116683,Oboe,Chromatic Scale,Chromatic Scale,15,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,15.0,1.0
2324079,116683,Oboe,Chromatic Scale,Chromatic Scale,15,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,15.0,1.0
2324080,116683,Oboe,Major Scales,G,5,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3,15.0,0.3333333333333333
