Instrument,ScoreGroup,Start,Duration,End
Bb Clarinet,Lyrical Etude,12.260136054,129.288707483,141.54884353699998
Bb Clarinet,Technical Etude,148.050430839,85.820952381,233.87138321999998
Bb Clarinet,Chromatic Scale,240.535510204,19.017142857,259.552653061
Bb Clarinet,Major Scales,264.010884354,141.40952381,405.420408164
Bb Clarinet,Sight-Reading,422.115555556,86.633650794,508.74920635
