Instrument,ScoreGroup,Start,Duration,End
Alto Saxophone,Lyrical Etude,8.939682539,91.672380952,100.612063491
Alto Saxophone,Technical Etude,106.626031746,41.935238095,148.561269841
Alto Saxophone,Chromatic Scale,154.412698412,9.914920634,164.327619046
Alto Saxophone,Major Scales,172.292063492,104.675555555,276.967619047
Alto Saxophone,Sight-Reading,281.843809523,39.334603174,321.178412697
