Instrument,ScoreGroup,Start,Duration,End
Flute,Lyrical Etude,10.448979591,75.9292517,86.37823129099999
Flute,Technical Etude,91.022222222,21.362358276,112.38458049799999
Flute,Chromatic Scale,116.564172335,20.897959183,137.462131518
Flute,Major Scales,142.570521541,110.759183673,253.329705214
Flute,Sight-Reading,258.205895691,51.780498866,309.98639455700004
