Instrument,ScoreGroup,Start,Duration,End
Xylophone,Mallet Etude,17.436735,48.457143,65.893878
Snare Drum,Snare Etude,75.232653,56.489796,131.72244899999998
Timpani,Timpani Etude,138.44898,50.285714,188.734694
Xylophone,Chromatic Scale,197.028571,7.183673,204.212244
Xylophone,Major Scales,212.37551,75.363265,287.738775
Xylophone,Sight-Reading,294.791837,38.661224,333.453061
Snare Drum,Sight-Reading,338.416327,30.171429,368.587756
